critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
0.45917898416519165,-82.017822265625,-50.75951385498047,-84.0787582397461,0.2044386863708496,83.78461456298828,1.7548131942749023,82.02980041503906,0.005849377252161503,9999
1.9979968070983887,-128.73455810546875,-73.8656997680664,-132.12147521972656,0.16905581951141357,129.72415161132812,1.0590720176696777,128.6650848388672,0.0035302401520311832,19999
2.881110191345215,-157.52496337890625,-88.53535461425781,-160.9665985107422,0.20798298716545105,158.53929138183594,0.9170105457305908,157.62228393554688,0.0030567017383873463,29999
2.6933791637420654,-173.12640380859375,2.624406337738037,-177.87335205078125,0.18670037388801575,173.87203979492188,0.7949056029319763,173.07713317871094,0.0026496853679418564,39999
2.130730152130127,-184.91607666015625,-104.2407455444336,-188.23617553710938,0.2021913081407547,186.03604125976562,1.0094661712646484,185.02658081054688,0.003364887088537216,49999
3.8619649410247803,-187.2080841064453,-105.16110229492188,-193.93917846679688,0.16971533000469208,188.01930236816406,1.0309540033340454,186.98834228515625,0.0034365132451057434,59999
0.8658673763275146,-191.67471313476562,-108.09305572509766,-197.36912536621094,0.1532529592514038,192.52667236328125,0.9048914313316345,191.6217803955078,0.0030163044575601816,69999
5.863842487335205,-192.52294921875,-95.96412658691406,-198.90538024902344,0.18704615533351898,193.21652221679688,0.8646775484085083,192.35183715820312,0.0028822587337344885,79999
2.1663050651550293,-191.978271484375,-95.04765319824219,-199.35194396972656,0.2151193469762802,192.74368286132812,0.9519793391227722,191.7917022705078,0.0031732642091810703,89999
5.8926615715026855,-190.2496337890625,-92.28099822998047,-198.54678344726562,0.17601975798606873,190.97459411621094,0.5868975520133972,190.3876953125,0.0019563252571970224,99999
2.5286102294921875,-186.67498779296875,-86.82219696044922,-197.34461975097656,0.15514037013053894,187.221435546875,0.7720750570297241,186.44935607910156,0.002573583507910371,109999
0.7550167441368103,-187.10458374023438,-82.74256134033203,-196.50201416015625,0.19610576331615448,188.1460723876953,1.0242458581924438,187.121826171875,0.003414153354242444,119999
1.1192842721939087,-187.70860290527344,-82.1083755493164,-195.93479919433594,0.18032945692539215,188.14569091796875,0.7175168991088867,187.4281768798828,0.002391722984611988,129999
1.695137619972229,-186.66152954101562,-75.05266571044922,-196.03126525878906,0.17566776275634766,187.41387939453125,0.8163968920707703,186.5974884033203,0.0027213231660425663,139999
2.338918447494507,-181.11700439453125,-69.50401306152344,-193.54566955566406,0.1751285195350647,181.25120544433594,0.5502210259437561,180.70098876953125,0.0018340699607506394,149999
1.7345536947250366,-181.5494384765625,-96.26878356933594,-192.54307556152344,0.19710758328437805,182.17149353027344,0.6310545206069946,181.54043579101562,0.0021035149693489075,159999
1.483795166015625,-177.05337524414062,1.466396689414978,-192.12767028808594,0.18420708179473877,177.31906127929688,0.7015997767448425,176.61746215820312,0.0023386662360280752,169999
1.684008002281189,-178.60992431640625,-60.98407745361328,-191.1735382080078,0.19458705186843872,179.07427978515625,0.5975344181060791,178.47674560546875,0.001991781173273921,179999
1.6270655393600464,-175.212646484375,-35.22927474975586,-192.06898498535156,0.1377670168876648,175.69497680664062,0.5469685196876526,175.14801025390625,0.0018232284346595407,189999
1.041152000427246,-177.23068237304688,-50.74369812011719,-191.71958923339844,0.14272457361221313,177.99517822265625,0.6958363056182861,177.29934692382812,0.0023194546811282635,199999
1.501288652420044,-171.91574096679688,-40.440887451171875,-191.69143676757812,0.1346738040447235,172.3887939453125,0.7233603596687317,171.66543579101562,0.002411201363429427,209999
1.5319992303848267,-173.46231079101562,-60.39942169189453,-191.207275390625,0.16248254477977753,173.70822143554688,0.606835663318634,173.10137939453125,0.0020227856002748013,219999
1.7672334909439087,-171.43765258789062,-43.67815017700195,-191.98748779296875,0.2001054883003235,172.1267547607422,0.5940974950790405,171.53265380859375,0.001980324974283576,229999
1.6963236331939697,-171.33505249023438,-52.08477020263672,-190.83079528808594,0.1828819215297699,171.8546142578125,0.6961429715156555,171.15847778320312,0.0023204765748232603,239999
2.873732566833496,-171.45315551757812,-80.79622650146484,-191.46432495117188,0.19274771213531494,171.69943237304688,0.5399112701416016,171.15951538085938,0.0017997041577473283,249999
1.1041514873504639,-169.01483154296875,-44.730247497558594,-191.05320739746094,0.12729088962078094,169.2646026611328,0.6012675166130066,168.663330078125,0.0020042252726852894,259999
1.7042748928070068,-168.04315185546875,-45.07438278198242,-192.18711853027344,0.15226778388023376,168.6850128173828,0.9187812805175781,167.7662353515625,0.003062604460865259,269999
2.4758963584899902,-167.3560791015625,-43.998619079589844,-191.23974609375,0.16332513093948364,167.47691345214844,0.6884900331497192,166.78842163085938,0.0022949667181819677,279999
2.662734270095825,-166.9927215576172,-37.65965270996094,-193.98208618164062,0.20109951496124268,167.32666015625,0.9066787362098694,166.41998291015625,0.0030222623609006405,289999
2.255593776702881,-167.0018310546875,-58.526954650878906,-192.48074340820312,0.19239383935928345,167.551025390625,0.826638400554657,166.72438049316406,0.0027554614935070276,299999
1.4991216659545898,-165.91737365722656,-47.98847961425781,-194.60169982910156,0.19623146951198578,166.24317932128906,0.6200340986251831,165.62313842773438,0.002066780347377062,309999
1.408542275428772,-164.71343994140625,-39.94443130493164,-194.2707061767578,0.205276221036911,164.91525268554688,0.7096403241157532,164.2056121826172,0.0023654678370803595,319999
1.6443030834197998,-167.09169006347656,-1.276788592338562,-194.7154083251953,0.18264362215995789,167.36683654785156,0.685139000415802,166.68170166015625,0.0022837966680526733,329999
3.687514543533325,-164.00730895996094,-44.132694244384766,-195.8135223388672,0.18883049488067627,164.47637939453125,0.9099776744842529,163.56640625,0.0030332591850310564,339999
3.7536392211914062,-163.6912841796875,-45.991783142089844,-196.4126434326172,0.17115934193134308,164.17453002929688,0.7251901030540466,163.4493408203125,0.002417300594970584,349999
2.6872718334198,-162.34368896484375,-43.940589904785156,-195.35557556152344,0.12937435507774353,162.3377685546875,0.5658804178237915,161.77188110351562,0.0018862681463360786,359999
3.0302815437316895,-158.88287353515625,-46.57902908325195,-195.2603759765625,0.16384628415107727,159.3384246826172,0.9793564677238464,158.35906982421875,0.003264521947130561,369999
